feature,importance
pm2_5,22.53007221248035
aqi_change_rate,14.340844457184136
ozone,11.259944373295742
pm10,0.28255347045374685
carbon_monoxide,0.19489930485214035
pm_ratio,0.08419546693019665
temp_humidity_ratio,0.044688588826115504
sulphur_dioxide,0.02933845050357319
relative_humidity_2m,0.025563217190699337
day,0.012137690000220039
nitrogen_dioxide,0.012020778887756947
weekday,0.004860479682336419
temperature_2m,0.0039475544270245145
hour_sin,0.003945090413974744
wind_speed_10m,0.003437133060833179
month,0.0030954764760798533
wind_effect,0.00256138531207272
hour,0.0011048635169879015
