,RMSE,MAE,R²
XGBoost,6.69736216985312,1.2763545513153076,0.9871615767478943
Gradient_Boosting,7.905876094634866,0.5801911585248039,0.9821102479284263
Random_Forest,8.169152315962991,0.33939431913116114,0.9808989033496033
Ridge_Regression,34.6973911411836,16.28565201597685,0.6554137383332147
